a2a4 node 159, Score 15, alpha 15, beta 25
b2b3 node 160, Score 15, alpha 15, beta 25
b2b4 node 161, Score 15, alpha 15, beta 25
c2c3 node 162, Score 20, alpha 15, beta 25
c2c4 node 163, Score 25, alpha 20, beta 25
	g8h6 node 163, Score -25, alpha -25, beta 30000
a2a3 node 165, Score 5, alpha -30000, beta 25
a2a4 node 166, Score 5, alpha 5, beta 25
b2b3 node 167, Score 5, alpha 5, beta 25
b2b4 node 168, Score 5, alpha 5, beta 25
c2c3 node 169, Score 10, alpha 5, beta 25
c2c4 node 170, Score 20, alpha 10, beta 25
e2e3 node 171, Score 25, alpha 20, beta 25
	g8f6 node 171, Score -25, alpha -25, beta 30000
Store pv move d7d5 at 65534

Depth:2 score:-25 move:d7d5 nodes:171 pv d7d5 c1e3
a7a6 node 175, Score -30, alpha -30000, beta 30000
a7a5 node 176, Score -30, alpha -30, beta 30000
b7b6 node 177, Score -30, alpha -30, beta 30000
b7b5 node 178, Score -30, alpha -30, beta 30000
c7c6 node 179, Score -25, alpha -30, beta 30000
c7c5 node 181, Score -25, alpha -25, beta 30000
e7e6 node 182, Score -10, alpha -25, beta 30000
e7e5 node 184, Score -10, alpha -10, beta 30000
f7f6 node 185, Score -10, alpha -10, beta 30000
f7f5 node 186, Score -10, alpha -10, beta 30000
g7g6 node 187, Score -10, alpha -10, beta 30000
g7g5 node 188, Score -10, alpha -10, beta 30000
h7h6 node 189, Score -10, alpha -10, beta 30000
h7h5 node 190, Score -10, alpha -10, beta 30000
b8d7 node 191, Score -10, alpha -10, beta 30000
b8c6 node 192, Score -5, alpha -10, beta 30000
b8a6 node 193, Score -5, alpha -5, beta 30000
g8h6 node 194, Score -5, alpha -5, beta 30000
g8f6 node 195, Score -5, alpha -5, beta 30000
c8d7 node 196, Score -5, alpha -5, beta 30000
c8e6 node 197, Score 0, alpha -5, beta 30000
c8f5 node 198, Score 0, alpha 0, beta 30000
c8g4 node 199, Score 0, alpha 0, beta 30000
c8h3 node 200, Score 0, alpha 0, beta 30000
d8d7 node 201, Score 0, alpha 0, beta 30000
d8d6 node 202, Score 0, alpha 0, beta 30000
e8d7 node 203, Score 0, alpha 0, beta 30000
Store pv move c8e6 at 65534
	c1e3 node 203, Score 0, alpha -30000, beta 30000
a7a6 node 205, Score 0, alpha -30000, beta 0
	a2a4 node 205, Score 0, alpha 0, beta 30000
a7a6 node 207, Score 0, alpha -30000, beta 0
	b2b3 node 207, Score 0, alpha 0, beta 30000
a7a6 node 209, Score 0, alpha -30000, beta 0
	b2b4 node 209, Score 0, alpha 0, beta 30000
a7a6 node 211, Score -5, alpha -30000, beta 0
a7a5 node 212, Score -5, alpha -5, beta 0
b7b6 node 213, Score -5, alpha -5, beta 0
b7b5 node 214, Score -5, alpha -5, beta 0
c7c6 node 215, Score 0, alpha -5, beta 0
	c2c3 node 215, Score 0, alpha 0, beta 30000
d5c4 node 217, Score 0, alpha -30000, beta 0
	c2c4 node 217, Score 0, alpha 0, beta 30000
a7a6 node 221, Score -20, alpha -30000, beta 0
a7a5 node 222, Score -20, alpha -20, beta 0
b7b6 node 223, Score -20, alpha -20, beta 0
b7b5 node 224, Score -20, alpha -20, beta 0
c7c6 node 225, Score -15, alpha -20, beta 0
c7c5 node 227, Score -15, alpha -15, beta 0
e7e6 node 228, Score 0, alpha -15, beta 0
	e2e3 node 228, Score 0, alpha 0, beta 30000
d5e4 node 230, Score 0, alpha -30000, beta 0
